host_id,host_name,calculated_host_listings_count
2787,John,6
2845,Jennifer,2
4632,Elisabeth,1
4869,LisaRoxanne,1
7192,Laura,1
7322,Chris,1
7356,Garon,1
8967,Shunichi,1
7490,MaryEllen,1
7549,Ben,4
7702,Lena,1
7989,Kate,1
9744,Laurie,3
11528,Claudio,1
11975,Alina,1
15991,Allen & Irina,1
17571,Jane,1
18946,Doti,1
20950,Adam And Charity,1
17985,Sing,2
21207,Chaya,1
22486,Lisel,6
25183,Nathalie,2
25326,Gregory,2
26394,Claude & Sophie,1
30193,Tommi,1
31374,Shon,3
21904,Dana,1
32294,Ssameer Or Trip,3
32045,Teri,1
32169,Andrea,3
35935,Angela,2
7355,Vt,1
44145,Tyrome,2
45445,Harriet,1
46978,Edward,2
47610,Abdul,1
47618,Yolande,1
16800,Cyn,1
47727,Earl,1
49670,Rana,1
50124,Orestes,1
50148,Adreinne,1
50846,Jennifer,1
52335,Alexander,2
54275,JT And Tiziana,3
56094,Joya,1
56104,James,1
56246,Jeanne,1
56284,Francesca,1
56512,Joanna,1
59023,Bianca,1
59734,Luiz,2
60049,Ted,1
60252,Cristina,1
60278,Petra,1
61491,D,2
63588,Dimitri,2
63613,Patricia,2
63924,Mark,1
64056,Sara,1
64442,Reka,2
64522,Daniel,1
4396,Casey,2
65837,Robin,1
66035,Anna,1
66243,Enzo,1
68428,Tye And Etienne,2
68599,George,1
69829,Josh,1
69942,Victoria,1
70091,Justin,1
71512,Blaise,1
71876,DAVID And RICK,1
72014,Lulú,4
73051,Sybilla,1
73128,JoLynn,1
73469,Gaia,1
44263,Ana,1
74303,Maggie,1
74857,Starlee,1
62407,Edward,1
76627,Pas,1
961342,Augustin,1
78460,Sean & Lynette,1
51038,Erica,6
79070,Tracy,1
79402,Christiana,1
42032,Dana,1
82685,Elliott,1
83257,Olan,2
87773,Shelly,2
11481,Annette,3
63318,Meka,1
93790,Ann,2
97219,Seth,1
97797,Brenda,1
105538,Erik,1
107628,Dena,1
109589,Jessica,1
112793,Sally,1
42273,Dani,2
72062,Bruce,4
115157,Nimo,1
115307,Alexandra,1
115560,Stacy,1
118971,Evelyn,3
119510,Emma,1
119588,Vero,2
119900,Sylvie,1
120223,Jen,1
65091,Kay,1
6197784,Jo,1
124352,Lisa,1
124797,Fernando And Lenin,1
126607,Laurine,3
127608,Chris,1
125857,Uli,1
129352,Sol,1
120335,Cs,1
117287,Lara,3
135619,Tom,1
137292,Sunder,1
137814,Waldemar,3
137974,Khem,2
116599,Sahr,3
138579,Ali+Scott,1
139612,Elisabeth,1
139874,Sarah,1
140025,Fredah,1
142833,Katherine,1
143027,Ming,1
143048,Paula,1
149929,Obed,5
120291,Karen,1
62165,Michael,1
142684,White,1
137432,Paz,1
157798,Irene,1
158284,Karene,1
159370,Viviana,1
92788,Sara,2
165789,Sarah,1
168417,Marie,2
168525,Gus,2
110506,Myung,1
170510,Renée,2
171851,Henry,1
174025,Sylvia,1
180083,Syl,1
181167,Lorenzo,1
185978,Newyorkroomwithaview,1
177536,Tessa,1
190409,Waundell,3
193360,Young,1
193722,Coral,1
181376,Carol,2
