listing_id,name,host_id,neighbourhood_id,room_type,price,minimum_nights,availability_365
2539,Clean & quiet apt home by the park,2787,1,Private room,149,1,365
2595,Skylit Midtown Castle,2845,2,Entire home/apt,225,1,355
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,3,Private room,150,3,365
3831,Cozy Entire Floor of Brownstone,4869,4,Entire home/apt,89,1,194
5022,Entire Apt: Spacious Studio/Loft by central park,7192,5,Entire home/apt,80,10,0
5099,Large Cozy 1 BR Apartment In Midtown East,7322,6,Entire home/apt,200,3,129
5121,BlissArtsSpace!,7356,7,Private room,60,45,0
5178,Large Furnished Room Near B'way ,8967,8,Private room,79,2,220
5203,Cozy Clean Guest Room - Family Apt,7490,9,Private room,79,2,0
5238,Cute & Cozy Lower East Side 1 bdrm,7549,10,Entire home/apt,150,1,188
5295,Beautiful 1br on Upper West Side,7702,9,Entire home/apt,135,5,6
5441,Central Manhattan/near Broadway,7989,8,Private room,85,2,39
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,11,Private room,89,4,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,9,Private room,85,2,333
6090,West Village Nest - Superhost,11975,12,Entire home/apt,120,90,0
6848,Only 2 stops to Manhattan studio,15991,13,Entire home/apt,140,2,46
7097,Perfect for Your Parents + Garden,17571,14,Entire home/apt,215,2,321
7322,Chelsea Perfect,18946,15,Private room,140,1,12
7726,Hip Historic Brownstone Apartment with Backyard,20950,16,Entire home/apt,99,3,21
7750,Huge 2 BR Upper East  Cental Park,17985,5,Entire home/apt,190,7,249
7801,Sweet and Spacious Brooklyn Loft,21207,13,Entire home/apt,299,3,0
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,17,Private room,130,2,347
8025,CBG Helps Haiti Room#2.5,22486,17,Private room,80,1,364
8110,CBG Helps Haiti Rm #2,22486,17,Private room,110,2,304
8490,"MAISON DES SIRENES1,bohemian apartment",25183,7,Entire home/apt,120,2,233
8505,Sunny Bedroom Across Prospect Park,25326,18,Private room,60,1,85
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,19,Private room,80,4,0
9357,Midtown Pied-a-terre,30193,8,Entire home/apt,150,10,75
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,19,Private room,44,3,311
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,20,Entire home/apt,180,14,67
9668,front room/double bed,32294,3,Private room,50,3,355
9704,Spacious 1 bedroom in luxe building,32045,3,Private room,52,2,255
9782,Loft in Williamsburg Area w/ Roof,32169,21,Private room,55,4,284
9783,back room/bunk beds,32294,3,Private room,50,3,359
10452,Large B&B Style rooms,35935,7,Private room,70,1,269
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,11,Private room,89,4,340
11452,Clean and Quiet in Brooklyn,7355,7,Private room,35,60,365
11708,Cute apt in artist's home,44145,22,Entire home/apt,85,2,22
11943,Country space in the city,45445,23,Private room,150,1,365
12048,LowerEastSide apt share shortterm 1,7549,24,Shared room,40,1,188
12192,ENJOY Downtown NYC!,46978,20,Private room,68,2,96
12299,Beautiful Sunny Park Slope Brooklyn,47610,11,Entire home/apt,120,3,345
12303,1bdr w private bath. in lofty apt,47618,14,Private room,120,7,311
12318,West Side Retreat,16800,9,Private room,135,4,273
12343,BEST BET IN HARLEM,47727,3,Entire home/apt,150,7,309
12627,Entire apartment in central Brooklyn neighborhood.,49670,25,Entire home/apt,150,29,95
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,26,Private room,130,3,215
12940,Charming Brownstone 3 - Near PRATT,50148,7,Entire home/apt,110,7,265
13050,bright and stylish duplex,50846,7,Entire home/apt,115,3,0
13394,Fort Greene brownstone ,52335,14,Private room,80,3,192
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,7,Private room,80,1,251
14287,Cozy 1BD on Central Park West in New York City,56094,9,Entire home/apt,151,2,302
14290,* ORIGINAL BROOKLYN LOFT *,56104,13,Entire home/apt,228,3,140
14314,Greenpoint Place...Has It All! ,56246,21,Entire home/apt,144,2,234
14322,Beautiful Apartment in Manhattan!!!,56284,27,Entire home/apt,200,7,257
14377,Williamsburg 1 bedroom Apartment,56512,13,Entire home/apt,150,30,30
14991,"Great Location, Manhattan Bedroom!",59023,24,Private room,110,5,301
15220,Best Location in NYC! TIMES SQUARE!,59734,8,Private room,69,2,294
15338,Room in Greenpoint Loft w/ Roof,32169,21,Private room,49,4,320
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,28,Entire home/apt,180,30,154
15385,"Very, very cozy place",60252,13,Private room,80,2,263
15396,Sunny & Spacious Chelsea Apartment,60278,15,Entire home/apt,375,180,180
15711,2 bedroom - Upper East Side-great for kids,61491,29,Entire home/apt,250,2,231
16326,Comfortable 4-bedroom apt in family house.,63588,30,Entire home/apt,200,30,297
16338,Double Room w Private Deck Clinton Hill Best Area,63613,4,Private room,55,7,292
16421,Your Heaven in Hells Kitchen,63924,8,Private room,52,30,191
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,17,Entire home/apt,225,3,0
16580,"Sunny, Modern room in East Village!",64442,20,Private room,80,1,72
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,13,Entire home/apt,275,1,362
16821,Large Room in Amazing East Village Apt,4396,20,Private room,99,1,336
16974,SpaHa Loft: Enormous and Bright,65837,5,Entire home/apt,225,4,215
17037,Lovely EV Artist's Home,66035,20,Entire home/apt,230,9,116
17092,Cool Room in Hell's Kitchen,66243,8,Private room,51,7,88
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,31,Private room,65,2,336
17747,BLUE TRIM GUEST HOUSE,68599,4,Private room,105,2,304
18127,Charming East Village One Bedroom Flat,69829,20,Entire home/apt,190,5,224
18152,Manhattan Room,69942,29,Private room,200,1,322
18198,Little King of Queens,70091,32,Private room,70,30,324
18590,Fort Greene Retreat on the Park,71512,14,Private room,95,3,132
18728,Beautiful Meatpacking District Loft,71876,15,Private room,150,3,295
18764,Cozy 2 BR in Williamsburg ,72014,13,Private room,145,3,238
19159,Spacious luminous apt Upper West NYC,73051,3,Entire home/apt,110,31,209
19169,Entire 2 Bedroom - Large & Sunny,73128,24,Entire home/apt,285,5,328
19282,"Sunny, Spacious Top Floor Haven",73469,23,Entire home/apt,130,6,38
19319,Private room Great Deal at Lower East Side,44263,24,Private room,94,30,188
19601,perfect for a family or small group,74303,33,Entire home/apt,800,1,7
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,13,Entire home/apt,105,3,272
20299,Oh glorious spring!,62407,20,Private room,60,3,26
20300,Great Location for NYC,76627,20,Private room,50,1,0
20611,Cozy Bedroom in Williamsburg 3 BR,72014,13,Private room,85,3,288
20724,Sunny room+Pvte office in huge loft,961342,22,Private room,65,4,317
20734,Spacious Prospect Heights Apartment,78460,30,Entire home/apt,131,4,207
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,4,Private room,98,7,185
20853,2-bed brownstone duplex + garden,79070,30,Entire home/apt,250,7,158
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,13,Entire home/apt,100,5,0
21293,Sunny Apartment in Artist Home,44145,22,Entire home/apt,105,3,9
21456,Light-filled classic Central Park ,42032,9,Entire home/apt,140,3,198
21644,"Upper Manhattan, New York",82685,3,Private room,89,1,365
21794,COZY QUIET room 4 DOOGLERS!,83257,15,Private room,98,30,364
22911,The Stuydio Modern and Light Filled,87773,7,Entire home/apt,125,7,311
22918,loft bed - near transportation-15min to times sq,32294,3,Private room,60,3,219
23135,House On Henry (3rd FLR Suite),11481,34,Entire home/apt,175,2,342
23501,Monkey Retreat Manhattan,63318,31,Private room,65,2,312
23686,2000 SF 3br 2bath West Village private  townhouse,93790,12,Entire home/apt,500,4,243
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,13,Private room,101,3,152
24285,Beautiful Duplex Apartment,97797,17,Entire home/apt,220,30,9
25235,Large 2 Bedroom Great for Groups!,87773,7,Entire home/apt,125,90,137
25406,"Modern Brooklyn Apt., August sublet",105538,13,Entire home/apt,80,30,222
25696,"1,800 sq foot in luxury building",107628,3,Private room,100,2,346
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,35,Entire home/apt,200,30,208
26362,"Times Square, Safe, Clean and Cozy!",59734,8,Private room,59,2,279
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,4,Private room,125,2,250
26559,Beautiful Apartment East Village,112793,20,Entire home/apt,140,7,164
26785,Park Slope Green Guest House,42273,11,Entire home/apt,120,30,192
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,20,Entire home/apt,350,2,298
26954,NYC fabulous views Manhattan's eye,115157,27,Entire home/apt,199,5,260
26969,2 story family home in Williamsburg,115307,13,Entire home/apt,325,3,107
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,9,Entire home/apt,235,6,199
27385,Great Large 1 BR apt  in East Village!,72062,20,Entire home/apt,225,1,299
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,11,Private room,99,2,20
27644,Sugar Hill Rest Stop ,119510,3,Entire home/apt,170,2,318
27659,3 Story Town House in Park Slope,119588,11,Entire home/apt,400,2,216
27759,apartment next to Central park,119900,9,Entire home/apt,170,7,224
27883,East Village Sanctuary,120223,20,Entire home/apt,100,4,0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,25,Private room,75,2,324
28396,Modern Apt with Spectacular Views,6197784,13,Private room,90,1,245
28907,Garden studio in the Upper East Sid,124352,29,Entire home/apt,150,5,189
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,31,Private room,85,15,307
29013,B & B Room 1,35935,7,Private room,70,3,310
29455,ACCOMMODATIONS GALORE #1,126607,3,Entire home/apt,120,3,213
