neighbourhood_id,neighbourhood_group,neighbourhood
1,Brooklyn,Kensington
2,Manhattan,Midtown
3,Manhattan,Harlem
4,Brooklyn,Clinton Hill
5,Manhattan,East Harlem
6,Manhattan,Murray Hill
7,Brooklyn,Bedford-Stuyvesant
8,Manhattan,Hell's Kitchen
9,Manhattan,Upper West Side
10,Manhattan,Chinatown
11,Brooklyn,South Slope
12,Manhattan,West Village
13,Brooklyn,Williamsburg
14,Brooklyn,Fort Greene
15,Manhattan,Chelsea
16,Brooklyn,Crown Heights
17,Brooklyn,Park Slope
18,Brooklyn,Windsor Terrace
19,Manhattan,Inwood
20,Manhattan,East Village
21,Brooklyn,Greenpoint
22,Brooklyn,Bushwick
23,Brooklyn,Flatbush
24,Manhattan,Lower East Side
25,Brooklyn,Prospect-Lefferts Gardens
26,Queens,Long Island City
27,Manhattan,Kips Bay
28,Manhattan,SoHo
29,Manhattan,Upper East Side
30,Brooklyn,Prospect Heights
31,Manhattan,Washington Heights
32,Queens,Woodside
33,Brooklyn,Brooklyn Heights
34,Brooklyn,Carroll Gardens
35,Brooklyn,Gowanus
36,Brooklyn,Flatlands
37,Brooklyn,Cobble Hill
38,Queens,Flushing
39,Brooklyn,Boerum Hill
40,Queens,Sunnyside
41,Brooklyn,DUMBO
42,Staten Island,St. George
43,Bronx,Highbridge
44,Manhattan,Financial District
45,Queens,Ridgewood
46,Manhattan,Morningside Heights
47,Queens,Jamaica
48,Queens,Middle Village
49,Manhattan,NoHo
50,Queens,Ditmars Steinway
51,Manhattan,Flatiron District
52,Manhattan,Roosevelt Island
53,Manhattan,Greenwich Village
54,Manhattan,Little Italy
55,Brooklyn,East Flatbush
56,Staten Island,Tompkinsville
57,Queens,Astoria
58,Bronx,Clason Point
59,Bronx,Eastchester
60,Bronx,Kingsbridge
61,Manhattan,Two Bridges
62,Queens,Queens Village
63,Queens,Rockaway Beach
64,Queens,Forest Hills
65,Manhattan,Nolita
66,Bronx,Woodlawn
67,Bronx,University Heights
68,Brooklyn,Gravesend
69,Manhattan,Gramercy
70,Bronx,Allerton
71,Brooklyn,East New York
72,Manhattan,Theater District
73,Bronx,Concourse Village
74,Brooklyn,Sheepshead Bay
75,Staten Island,Emerson Hill
76,Brooklyn,Fort Hamilton
77,Brooklyn,Bensonhurst
78,Manhattan,Tribeca
79,Staten Island,Shore Acres
80,Brooklyn,Sunset Park
81,Bronx,Concourse
82,Queens,Elmhurst
83,Brooklyn,Brighton Beach
84,Queens,Jackson Heights
85,Brooklyn,Cypress Hills
86,Queens,St. Albans
87,Staten Island,Arrochar
88,Queens,Rego Park
89,Bronx,Wakefield
90,Staten Island,Clifton
91,Brooklyn,Bay Ridge
92,Staten Island,Graniteville
93,Bronx,Spuyten Duyvil
94,Staten Island,Stapleton
95,Queens,Briarwood
96,Queens,Ozone Park
97,Brooklyn,Columbia St
98,Brooklyn,Vinegar Hill
99,Bronx,Mott Haven
100,Bronx,Longwood
101,Brooklyn,Canarsie
102,Manhattan,Battery Park City
103,Manhattan,Civic Center
104,Queens,East Elmhurst
105,Staten Island,New Springville
106,Bronx,Morris Heights
107,Queens,Arverne
108,Queens,Cambria Heights
109,Staten Island,Tottenville
