review_id,listing_id,number_of_reviews,last_review,reviews_per_month
1,2539,9,2018-10-19,0.21
2,2595,45,2019-05-21,0.38
3,3647,0,,
4,3831,270,2019-07-05,4.64
5,5022,9,2018-11-19,0.1
6,5099,74,2019-06-22,0.59
7,5121,49,2017-10-05,0.4
8,5178,430,2019-06-24,3.47
9,5203,118,2017-07-21,0.99
10,5238,160,2019-06-09,1.33
11,5295,53,2019-06-22,0.43
12,5441,188,2019-06-23,1.5
13,5803,167,2019-06-24,1.34
14,6021,113,2019-07-05,0.91
15,6090,27,2018-10-31,0.22
16,6848,148,2019-06-29,1.2
17,7097,198,2019-06-28,1.72
18,7322,260,2019-07-01,2.12
19,7726,53,2019-06-22,4.44
20,7750,0,,
21,7801,9,2011-12-28,0.07
22,8024,130,2019-07-01,1.09
23,8025,39,2019-01-01,0.37
24,8110,71,2019-07-02,0.61
25,8490,88,2019-06-19,0.73
26,8505,19,2019-06-23,1.37
27,8700,0,,
28,9357,58,2017-08-13,0.49
29,9518,108,2019-06-15,1.11
30,9657,29,2019-04-19,0.24
31,9668,242,2019-06-01,2.04
32,9704,88,2019-06-14,1.42
33,9782,197,2019-06-15,1.65
34,9783,273,2019-07-01,2.37
35,10452,74,2019-05-12,0.66
36,10962,168,2019-06-21,1.41
37,11452,0,,
38,11708,231,2019-06-22,1.96
39,11943,0,,
40,12048,214,2019-07-05,1.81
41,12192,245,2019-06-21,2.08
42,12299,15,2019-05-27,0.39
43,12303,25,2018-09-30,0.23
44,12318,81,2019-06-16,0.69
45,12343,97,2019-06-13,0.84
46,12627,11,2019-06-05,0.49
47,12937,248,2019-07-01,2.25
48,12940,61,2019-05-25,0.52
49,13050,11,2017-01-01,0.1
50,13394,135,2019-06-17,1.16
51,13808,112,2019-06-16,1.01
52,14287,73,2019-07-07,0.63
53,14290,82,2019-05-17,0.7
54,14314,328,2019-06-29,2.82
55,14322,19,2019-03-25,0.22
56,14377,105,2019-06-22,0.9
57,14991,19,2019-05-18,0.17
58,15220,289,2019-06-09,2.49
59,15338,138,2019-06-04,1.19
60,15341,21,2019-06-29,0.3
61,15385,42,2019-06-30,0.38
62,15396,5,2018-11-03,0.12
63,15711,66,2019-03-30,0.57
64,16326,143,2019-01-26,1.33
65,16338,27,2017-09-30,0.23
66,16421,191,2019-05-16,1.65
67,16458,4,2017-09-24,0.16
68,16580,338,2019-07-01,4.72
69,16595,148,2019-06-23,1.4
70,16821,106,2019-06-21,1.26
71,16974,190,2019-06-23,1.64
72,17037,49,2018-05-14,0.43
73,17092,23,2019-06-01,0.43
74,17693,49,2019-06-18,1.6
75,17747,105,2019-06-26,0.92
76,18127,21,2019-01-02,0.2
77,18152,142,2019-07-06,1.5
78,18198,25,2019-05-31,0.22
79,18590,143,2019-06-16,1.28
80,18728,167,2019-05-28,1.65
81,18764,61,2019-04-22,0.54
82,19159,54,2019-03-23,0.49
83,19169,70,2019-06-30,0.62
84,19282,16,2019-06-15,0.15
85,19319,94,2019-04-08,0.84
86,19601,25,2016-08-04,0.24
87,19812,61,2018-08-09,0.53
88,20299,194,2019-06-30,1.73
89,20300,2,2016-02-14,0.05
90,20611,174,2019-06-22,1.54
91,20724,24,2019-05-26,0.28
92,20734,166,2019-06-27,3.4
